,make,year,model,mileage,certified,price
478,Toyota,2015,RAV4,101353,0,13995
479,Toyota,2016,Camry,28160,0,13950
480,Toyota,2011,Venza,82526,0,12628
481,Toyota,2017,Sienna,15646,0,22737
482,Toyota,2016,Prius,69145,0,16532
483,Toyota,2018,C-HR,25831,0,18482
484,Toyota,2011,Prius,98624,0,8995
485,Toyota,2019,Camry,36209,0,21456
486,Toyota,2006,Prius,126429,0,5250
487,Toyota,2017,Camry,45286,0,15995
488,Toyota,2018,RAV4,59741,0,18995
489,Toyota,2019,C-HR,25499,0,15923
490,Toyota,2020,Corolla,22570,0,16914
491,Toyota,2011,Venza,114299,0,8891
492,Toyota,2018,Yaris,44298,0,10762
493,Toyota,2016,Highlander,71479,0,22981
494,Toyota,2020,Highlander,5644,0,36712
495,Toyota,2015,Tundra,26640,0,34995
496,Toyota,2019,C-HR,22579,0,23977
497,Toyota,2013,Camry,76666,0,12200
498,Toyota,2018,4Runner,38437,0,33900
499,Toyota,2020,4Runner,15186,1,38771
500,Toyota,2020,Sienna,24539,0,26574
501,Toyota,2019,Avalon,21214,0,30747
502,Toyota,2017,Yaris,16809,0,11499
503,Toyota,2011,4Runner,91942,0,17995
504,Toyota,2016,Corolla,72138,0,12290
505,Toyota,2015,Venza,101829,0,17590
506,Toyota,2020,Corolla,2321,0,17250
507,Toyota,2010,Prius,72827,0,9284
508,Toyota,2015,Yaris,87990,0,7950
509,Toyota,2013,RAV4,151376,0,11490
510,Toyota,2018,Yaris,32322,0,12980
511,Toyota,2020,Camry,3414,1,24935
512,Toyota,2019,4Runner,6165,0,48991
513,Toyota,2017,Highlander,41035,1,28726
514,Toyota,2018,Camry,36287,0,15989
515,Toyota,2018,Yaris,41001,0,10989
516,Toyota,2018,Camry,36385,0,16767
517,Toyota,2017,Highlander,55500,0,21634
518,Toyota,2016,Highlander,47945,0,21995
519,Toyota,2019,Camry,37576,1,18490
520,Toyota,2019,RAV4,19098,0,26787
521,Toyota,2018,Corolla,21390,0,15220
522,Toyota,2015,Corolla,78218,0,10783
523,Toyota,2018,Camry,13853,1,21418
524,Toyota,2011,Sienna,152303,0,9431
525,Toyota,2015,Tacoma,63444,0,22999
526,Toyota,2019,Camry,20366,0,18888
527,Toyota,2010,Corolla,53768,0,8895
528,Toyota,2014,FJ,117581,0,26999
529,Toyota,2019,Camry,39190,0,21259
530,Toyota,2009,Venza,157336,0,8588
531,Toyota,2017,Yaris,48700,0,9000
532,Toyota,2018,RAV4,30043,0,20995
533,Toyota,2019,Highlander,33253,1,29935
534,Toyota,2018,4Runner,61531,1,36451
535,Toyota,2019,RAV4,19584,0,31998
536,Toyota,2019,Camry,36080,0,18519
537,Toyota,2016,Camry,44861,0,15380
538,Toyota,2019,Camry,34196,0,18649
539,Toyota,2018,Camry,59339,0,18991
540,Toyota,2011,Prius,140449,0,5999
541,Toyota,2017,Corolla,19726,0,16819
542,Toyota,2019,Highlander,28896,0,32999
543,Toyota,2017,RAV4,17889,0,19888
544,Toyota,2019,Camry,33310,0,20392
545,Toyota,2013,RAV4,27815,0,17991
546,Toyota,2019,Camry,37041,0,17297
547,Toyota,2012,Camry,62300,0,10500
548,Toyota,2019,C-HR,25541,0,17962
549,Toyota,2017,Highlander,34599,0,28865
550,Toyota,2016,Highlander,64024,0,25968
551,Toyota,2018,Camry,28024,0,19722
552,Toyota,2019,Camry,32191,0,18719
553,Toyota,2011,Venza,161244,0,9995
554,Toyota,2018,RAV4,45291,0,20577
555,Toyota,2011,RAV4,99001,0,8988
556,Toyota,2007,Camry,115568,0,7498
557,Toyota,2016,Camry,71529,0,13498
558,Toyota,2006,Sienna,170645,0,6500
559,Toyota,2020,Highlander,1222,0,48990
560,Toyota,2012,Prius,158946,0,6899
561,Toyota,2013,Prius,29004,0,14995
562,Toyota,2013,Sienna,79055,0,18290
563,Toyota,2010,Highlander,99072,0,9995
564,Toyota,2012,Prius,116098,0,9995
565,Toyota,2020,Camry,2500,0,23188
566,Toyota,2018,Prius,56640,0,16988
567,Toyota,2017,Camry,58628,0,13995
568,Toyota,2009,Venza,141887,0,8975
569,Toyota,2015,Tacoma,97349,0,21999
570,Toyota,2019,Highlander,38046,1,29787
571,Toyota,2018,RAV4,46494,0,17986
572,Toyota,2020,Highlander,7177,0,35989
573,Toyota,2017,Camry,35824,0,15000
574,Toyota,2011,Venza,102586,0,10950
575,Toyota,2012,Tundra,118308,0,17975
576,Toyota,2018,RAV4,26680,0,21420
577,Toyota,2016,Camry,64438,0,13300
578,Toyota,2019,Camry,38665,1,18220
579,Toyota,2017,Camry,54106,0,14974
580,Toyota,2019,Highlander,1085,0,41847
581,Toyota,2015,Camry,83389,0,13683
582,Toyota,2013,Tacoma,62059,0,22950
583,Toyota,2015,Corolla,65060,0,12990
584,Toyota,2018,C-HR,41043,1,17355
585,Toyota,2010,Tacoma,132254,0,13748
586,Toyota,2016,Corolla,32148,0,11750
587,Toyota,2016,4Runner,84212,0,27990
588,Toyota,2017,Highlander,47482,1,27695
589,Toyota,2019,Tacoma,4138,0,32050
590,Toyota,2016,Tundra,24234,0,26995
591,Toyota,2017,Tundra,59953,0,37850
592,Toyota,2018,RAV4,29814,0,21075
593,Toyota,2016,Camry,43496,0,15888
594,Toyota,2015,Corolla,57270,0,10980
595,Toyota,2015,Sienna,103979,0,17777
596,Toyota,2012,Prius,94228,0,10450
597,Toyota,2015,Camry,65814,0,13984
